order_id,customer_id,order_ts,status,payment_method,total_amount,currency,_source_file,_ingest_date,_load_ts,order_date,sales_channel
O000090,C00044,2025-12-02 01:32:00,shipped,pix,194.72,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O000003,C00110,2025-12-02 20:30:00,shipped,boleto,233.42,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,web
O000074,C00113,2025-12-02 05:52:00,delivered,debit_card,322.55,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O000062,C00115,2025-12-02 22:35:00,created,credit_card,31.14,USD,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O000001,C00092,2025-12-02 14:21:00,paid,pix,78.45,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O000046,C00017,2025-12-02 02:38:00,delivered,credit_card,337.46,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000001,C00116,2025-12-02 15:56:00,paid,boleto,190.8,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000002,C00054,2025-12-02 00:23:00,delivered,debit_card,249.27,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000003,C00116,2025-12-02 06:43:00,NULL,credit_card,173.15,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000005,C00072,2025-12-02 08:35:00,delivered,boleto,177.98,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000006,C00072,2025-12-02 12:11:00,shipped,credit_card,0.0,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000007,C00120,2025-12-02 23:07:00,cancelled,boleto,224.5,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000008,C00009,NULL,paid,credit_card,418.53,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,NULL,app
O2000009,C00017,2025-12-02 08:51:00,delivered,pix,58.1,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000010,C00068,2025-12-02 15:55:00,delivered,credit_card,66.33,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000011,C00038,2025-12-02 02:31:00,delivered,pix,189.13,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000013,C00070,2025-12-02 10:07:00,shipped,pix,372.94,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000014,C00095,NULL,delivered,credit_card,142.15,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,NULL,NULL
O2000015,C00013,2025-12-02 21:13:00,cancelled,boleto,11.15,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000016,C00099,2025-12-02 19:00:00,shipped,debit_card,145.85,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000017,C00075,NULL,created,credit_card,294.57,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,NULL,NULL
O2000018,C00085,2025-12-02 09:37:00,delivered,credit_card,221.5,USD,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000019,C00033,2025-12-02 05:34:00,delivered,credit_card,333.03,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000020,C00019,2025-12-02 15:31:00,delivered,pix,483.02,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000021,C00026,2025-12-02 04:54:00,paid,pix,199.0,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,web
O2000022,C00062,2025-12-02 12:34:00,delivered,pix,158.9,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000023,C00040,2025-12-02 23:14:00,paid,credit_card,108.0,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000025,C00050,2025-12-02 21:09:00,created,pix,49.93,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000026,C00045,2025-12-02 10:36:00,delivered,pix,131.24,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000027,C00054,2025-12-02 21:31:00,refunded,NULL,441.41,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000028,C00007,2025-12-02 21:00:00,created,credit_card,354.54,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000029,C00090,2025-12-02 08:49:00,NULL,pix,153.15,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000030,C00088,2025-12-02 00:20:00,shipped,credit_card,0.0,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000031,C00112,NULL,cancelled,credit_card,138.65,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,NULL,marketplace
O2000032,C00094,2025-12-02 14:26:00,delivered,boleto,512.38,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000033,C00089,2025-12-02 13:13:00,shipped,pix,589.93,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000034,C00105,2025-12-02 01:39:00,delivered,pix,308.19,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000036,C00065,2025-12-02 07:57:00,shipped,credit_card,NULL,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000037,C00085,2025-12-02 22:01:00,paid,boleto,255.66,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000038,C00112,2025-12-02 15:39:00,delivered,pix,67.77,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000039,C00039,2025-12-02 08:45:00,delivered,credit_card,99.48,NULL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000040,C00011,2025-12-02 05:33:00,delivered,credit_card,92.47,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000041,C00061,2025-12-02 00:01:00,delivered,credit_card,324.01,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000042,C00107,2025-12-02 06:14:00,shipped,debit_card,480.06,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,web
O2000043,C00088,2025-12-02 04:52:00,delivered,credit_card,363.76,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,web
O2000044,C00043,2025-12-02 13:56:00,created,credit_card,430.2,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000045,C00071,2025-12-02 16:44:00,shipped,credit_card,121.42,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000046,C00048,2025-12-02 09:12:00,created,credit_card,175.15,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000048,C00009,2025-12-02 06:20:00,paid,pix,307.36,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000049,C00086,2025-12-02 00:13:00,paid,credit_card,134.19,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000050,C00025,2025-12-02 08:23:00,delivered,boleto,413.15,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000051,C00079,2025-12-02 03:50:00,paid,credit_card,579.66,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,web
O2000052,C00012,2025-12-02 18:27:00,shipped,pix,318.0,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000053,C00030,2025-12-02 02:09:00,paid,debit_card,169.34,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000054,C00091,2025-12-02 13:57:00,paid,pix,112.66,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000055,C00004,2025-12-02 19:28:00,paid,pix,92.66,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000056,C00024,2025-12-02 14:50:00,created,credit_card,31.54,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,web
O2000057,C00056,2025-12-02 00:27:00,delivered,credit_card,189.65,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000058,C00025,2025-12-02 01:05:00,delivered,pix,181.61,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000059,C00091,2025-12-02 19:46:00,delivered,pix,396.76,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000060,C00102,2025-12-02 20:52:00,shipped,pix,141.36,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,web
O2000061,C00062,2025-12-02 04:20:00,paid,pix,197.7,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000062,C00098,2025-12-02 07:39:00,cancelled,boleto,273.6,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000063,C00060,2025-12-02 05:00:00,shipped,pix,314.52,NULL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000064,C00105,2025-12-02 15:18:00,shipped,credit_card,367.38,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000065,C00089,2025-12-02 22:06:00,created,pix,255.01,USD,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000066,C00076,2025-12-02 04:46:00,paid,NULL,199.9,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000067,C00047,2025-12-02 23:38:00,paid,credit_card,296.13,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000068,C00002,2025-12-02 17:13:00,paid,pix,133.28,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000069,C00118,2025-12-02 10:29:00,shipped,credit_card,494.53,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000070,C00102,2025-12-02 04:29:00,shipped,pix,227.51,NULL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000071,C00044,2025-12-02 09:51:00,delivered,credit_card,265.84,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000072,C00027,2025-12-02 14:03:00,delivered,pix,978.59,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000073,C00080,2025-12-02 14:21:00,delivered,boleto,371.6,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000074,C00034,2025-12-02 23:04:00,delivered,credit_card,292.48,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000075,C00066,2025-12-02 21:20:00,NULL,pix,202.06,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000076,C00090,2025-12-02 02:12:00,created,boleto,77.26,NULL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000077,C00039,2025-12-02 21:39:00,paid,debit_card,191.45,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000078,C00070,2025-12-02 16:11:00,created,credit_card,111.49,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000079,C00032,2025-12-02 08:32:00,delivered,credit_card,624.47,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000080,C00095,2025-12-02 05:12:00,cancelled,credit_card,295.14,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000081,C00078,2025-12-02 09:35:00,paid,pix,483.04,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000082,C00087,2025-12-02 14:45:00,cancelled,debit_card,138.16,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000083,C00023,2025-12-02 21:47:00,created,pix,118.38,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,web
O2000084,C00027,2025-12-02 19:04:00,delivered,boleto,347.98,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000085,C00039,2025-12-02 18:50:00,paid,pix,107.73,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O2000086,C00057,2025-12-02 11:26:00,created,pix,159.66,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000087,C00083,2025-12-02 20:27:00,shipped,credit_card,643.19,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000088,C00025,2025-12-02 02:44:00,paid,boleto,164.66,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,web
O2000089,C00112,2025-12-02 05:04:00,paid,credit_card,NULL,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000090,C00036,2025-12-02 02:35:00,paid,boleto,41.57,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000091,C00033,2025-12-02 23:10:00,delivered,boleto,55.42,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,WEB 
O2000092,C00079,2025-12-02 10:19:00,shipped,boleto,501.31,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000093,C00109,2025-12-02 21:14:00,paid,credit_card,145.16,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000095,C00039,2025-12-02 05:33:00,delivered,credit_card,583.88,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000047,C00040,2025-12-02 05:17:00,paid,credit_card,185.34,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O000049,C00100,2025-12-02 15:02:00,created,credit_card,234.74,NULL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
O2000035,C00043,2025-12-02 12:31:00,cancelled,credit_card,130.25,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,NULL
O000008,C00099,2025-12-02 18:02:00,created,boleto,219.92,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000094,C00020,2025-12-02 15:56:00,delivered,credit_card,959.66,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,marketplace
O2000024,C00026,2025-12-02 03:05:00,delivered,credit_card,65.96,BRL,orders.csv,2025-12-02,2026-03-29T19:40:11,2025-12-02,app
